Date,Government, security, and defence,Mobility and autonomous vehicles,Digital security,Media, social platforms, and marketing,Robots, sensors, and IT hardware,Consumer services,Financial and insurance services,Healthcare, drugs, and biotechnology,IT infrastructure and hosting,Education and training
2020-01,34,18,16,15,12,8,3,3,2,1,,,,,,,,
2020-02,50,15,16,8,4,2,2,6,0,1,,,,,,,,
2020-03,32,12,7,6,2,2,1,8,0,1,,,,,,,,
2020-04,21,11,3,8,2,1,1,11,0,2,,,,,,,,
2020-05,26,7,13,15,3,1,0,8,1,2,,,,,,,,
2020-06,34,12,6,14,5,3,2,2,0,2,,,,,,,,
2020-07,36,16,10,17,2,4,2,3,0,1,,,,,,,,
2020-08,34,13,13,17,3,2,4,3,3,2,,,,,,,,
2020-09,50,21,8,21,9,2,1,6,0,3,,,,,,,,
2020-10,18,24,3,23,4,5,3,4,0,3,,,,,,,,
2020-11,39,9,5,19,8,4,4,3,0,2,,,,,,,,
2020-12,38,18,8,10,10,7,4,4,2,3,,,,,,,,
2021-01,40,19,9,14,7,11,2,4,1,3,,,,,,,,
2021-02,35,14,4,16,6,2,1,2,0,1,,,,,,,,
2021-03,34,17,9,16,9,10,2,6,1,5,,,,,,,,
2021-04,43,16,6,19,8,3,2,4,0,1,,,,,,,,
2021-05,35,29,7,21,7,3,3,4,0,1,,,,,,,,
2021-06,38,9,9,17,7,5,1,5,4,1,,,,,,,,
2021-07,153,17,102,19,10,6,5,3,4,1,,,,,,,,
2021-08,69,24,34,16,9,8,6,9,3,0,,,,,,,,
2021-09,57,34,14,30,12,4,1,11,1,6,,,,,,,,
2021-10,62,22,19,45,9,3,3,6,0,3,,,,,,,,
2021-11,59,23,22,26,8,2,0,11,2,1,,,,,,,,
2021-12,57,22,24,19,10,4,5,8,1,0,,,,,,,,
2022-01,58,34,45,31,30,8,4,9,11,1,,,,,,,,
2022-02,44,26,46,23,19,4,3,6,11,0,,,,,,,,
2022-03,48,36,38,24,27,2,4,6,10,1,,,,,,,,
2022-04,40,18,36,26,16,8,5,3,4,1,,,,,,,,
2022-05,56,28,57,29,26,12,8,6,14,1,,,,,,,,
2022-06,52,32,33,34,28,11,4,7,10,4,,,,,,,,
2022-07,69,29,56,33,22,13,4,7,18,3,,,,,,,,
2022-08,61,44,54,36,36,12,7,4,15,1,,,,,,,,
2022-09,43,16,10,19,9,3,2,3,4,1,,,,,,,,
2022-10,48,17,26,26,15,8,4,6,6,1,,,,,,,,
2022-11,44,33,44,21,26,2,3,7,13,1,,,,,,,,
2022-12,56,19,52,30,28,8,6,15,13,2,,,,,,,,
2023-01,65,34,55,46,28,10,10,4,14,8,,,,,,,,
2023-02,50,27,27,36,20,11,5,5,11,5,,,,,,,,
2023-03,78,24,66,67,14,19,15,11,18,3,,,,,,,,
2023-04,68,30,75,63,24,16,13,7,29,5,,,,,,,,
2023-05,89,26,95,83,31,17,30,27,28,9,,,,,,,,
2023-06,65,19,57,65,17,13,14,13,13,11,,,,,,,,
2023-07,81,34,70,63,35,12,15,10,28,6,,,,,,,,
2023-08,79,41,91,73,29,21,32,11,39,7,,,,,,,,
2023-09,91,40,86,84,37,14,13,16,26,1,,,,,,,,
2023-10,105,34,97,91,33,19,14,20,27,10,,,,,,,,
2023-11,99,46,115,115,33,21,33,15,28,13,,,,,,,,
2023-12,80,22,105,82,19,8,29,12,24,9,,,,,,,,
2024-01,140,37,149,145,28,31,35,17,41,7,,,,,,,,
2024-02,119,45,112,104,40,21,30,9,34,6,,,,,,,,
2024-03,84,27,60,93,16,17,20,15,20,10,,,,,,,,
2024-04,120,51,126,112,46,19,37,17,34,11,,,,,,,,
2024-05,118,47,117,121,37,20,22,18,35,8,,,,,,,,
2024-06,115,38,107,111,31,13,26,11,40,13,,,,,,,,
2024-07,106,43,117,99,36,19,34,12,42,10,,,,,,,,
2024-08,99,32,111,96,28,19,21,8,36,10,,,,,,,,
2024-09,82,39,86,71,25,10,25,16,39,7,,,,,,,,
2024-10,112,51,131,117,45,27,35,13,41,16,,,,,,,,
2024-11,113,48,110,95,42,26,29,9,35,10,,,,,,,,
2024-12,103,46,110,81,41,25,18,17,50,9,,,,,,,,
2025-01,152,47,177,137,39,60,35,17,99,12,,,,,,,,
2025-02,208,49,221,177,48,59,57,18,108,20,,,,,,,,
2025-03,140,42,161,138,47,34,41,26,68,18,,,,,,,,
2025-04,159,52,168,155,51,36,33,27,75,22,,,,,,,,
2025-05,164,82,179,144,82,50,40,32,76,17,,,,,,,,
2025-06,118,55,104,106,48,21,19,27,45,17,,,,,,,,
2025-07,158,43,139,147,44,27,30,28,61,9,,,,,,,,
2025-08,127,52,123,147,30,43,32,42,49,12,,,,,,,,
2025-09,128,48,62,130,30,17,32,15,26,11,,,,,,,,
2025-10,160,48,75,173,37,36,37,27,31,13,,,,,,,,
2025-11,149,44,77,133,39,42,32,35,22,16,,,,,,,,
2025-12,143,38,79,123,27,24,32,26,30,18,,,,,,,,
2026-01,115,45,82,292,23,32,42,25,33,11,,,,,,,,
2026-02,154,45,103,172,19,17,44,31,51,8,,,,,,,,
2026-03,189,43,105,183,29,39,36,26,47,18,,,,,,,,
2026-04,140,31,125,105,22,23,67,27,50,14,,,,,,,,
2026-05,164,49,135,151,29,28,58,24,48,24,,,,,,,,